Date,S&P,Nasdaq,Dow,Mag7
2024-03-20,-795,,,
2024-03-19,-540,,,
2024-03-18,-5600,,,
2024-03-15,-4200,,,
2024-03-14,5000,,,
2024-03-13,-75,,,
2024-03-12,-2900,,,
2024-03-11,435,,,
2024-03-08,1300,,,
2024-03-07,1400,,,
2024-03-06,-1300,,,
2024-03-05,1700,,,
2024-03-04,2000,,,
2024-03-01,-2300,,,
2024-02-29,4100,,,
2024-02-28,-1200,,,
2024-02-27,1400,,,
2024-02-26,1200,,,
2024-02-23,3100,,,
2024-02-22,490,,,
2024-02-21,350,,,
2024-02-20,-1000,,,
2024-02-16,-690,,,
2024-02-15,600,,,
2024-02-14,550,,,
2024-02-13,-2600,,,
2024-02-12,650,,,
2024-02-09,-2100,,,
2024-02-08,-850,,,
2024-02-07,-750,,,
2024-02-06,-65,,,
2024-02-05,1900,,,
2024-02-02,-2700,,,
2024-02-01,150,,,
2024-01-31,-7200,,,
2024-01-30,-1600,,,
2024-01-29,170,,,
2024-01-26,230,,,
2024-01-25,1800,,,
2024-01-24,-4000,,,
2024-01-23,680,,,
2024-01-22,-1200,,,
2024-01-19,1400,,,
2024-01-18,2800,,,
2024-01-17,1300,,,
2024-01-16,-2300,,,
2024-01-12,1000,,,
2024-01-11,-436,,,
2024-01-10,600,,,
2024-01-09,-1300,,,
2024-01-08,2400,,,
2024-01-05,1000,,,
2024-01-04,-4100,,,
2024-01-03,-2500,,,
2024-01-02,7400,,,
2023-12-29,3100,,,
2023-12-28,-2100,,,
2023-12-27,-2900,,,
2023-12-26,-3000,,,
2023-12-21,2200,,,
2023-12-20,1400,,,
2023-12-19,2000,,,
2023-12-18,-800,,,
2023-12-15,5800,,,
2023-12-14,-200,,,
2023-12-13,-350,,,
2023-12-12,-2300,,,
2023-12-11,-1900,,,
2023-12-08,-200,,,
2023-12-07,256,,,
2023-12-06,-2400,,,
2023-12-05,-2000,,,
2023-12-04,2600,,,
2023-12-01,240,,,
2023-11-30,6500,,,
2023-11-29,1250,,,
2023-11-28,3400,,,
2023-11-27,-385,,,
2023-11-24,-404,,,
2023-11-22,155,,,
2023-11-21,236,,,
2023-11-20,240,,,
2023-11-17,730,,,
2023-11-16,520,,,
2023-11-15,-1000,,,
2023-11-14,-1200,,,
2023-11-13,1300,,,
2023-11-10,2100,,,
2023-11-09,2700,,,
2023-11-08,1600,,,
2023-11-07,-1100,,,
2023-11-06,1300,,,
2023-11-03,36,,,
2023-11-02,1700,,,
2023-11-01,1700,,,
2023-10-31,821,,,
2023-10-30,565,,,
2023-10-27,-325,,,
2023-10-26,740,,,
2023-10-25,-230,,,
2023-10-24,1700,,,
2023-10-23,-2300,,,
2023-10-20,-2100,,,
2023-10-19,520,,,
2023-10-18,1100,,,
2023-10-17,-1100,,,
2023-10-16,660,,,
2023-10-13,-1600,,,
2023-10-12,-220,,,
2023-10-11,1700,,,
2023-10-10,-560,,,
2023-10-09,-1800,,,
2023-10-06,-3600,,,
2023-10-05,320,,,
2023-10-04,2300,,,
2023-10-03,-300,,,
2023-10-02,-1100,,,
2023-09-29,155,,,
2023-09-28,-330,,,
2023-09-27,-38,,,
2023-09-26,-1500,,,
2023-09-25,-637,,,
2023-09-22,-5100,,,
2023-09-21,-4500,,,
2023-09-20,-1700,,,
2023-09-19,-600,,,
2023-09-18,-1300,,,
2023-09-15,-67,,,
2023-09-14,2500,,,
2023-09-13,-745,,,
2023-09-12,830,,,
2023-09-11,-55,,,
2023-09-08,860,,,
2023-09-07,3100,,,
2023-09-06,1500,,,
2023-09-05,1300,,,
2023-09-01,-1500,,,
2023-08-31,-280,,,
2023-08-30,-1700,,,
2023-08-29,1500,,,
2023-08-28,-260,,,
2023-08-25,-1900,,,
2023-08-24,-3200,,,
2023-08-23,2000,,,
2023-08-22,1000,,,
2023-08-21,1800,,,
2023-08-18,2500,,,
2023-08-17,200,,,
2023-08-16,-2500,,,
2023-08-15,-3200,,,
2023-08-14,-135,,,
2023-08-11,-1600,,,
2023-08-10,-1500,,,
2023-08-09,-3800,,,
2023-08-08,558,,,
2023-08-07,-242,,,
2023-08-04,-1800,,,
2023-08-03,592,,,
2023-08-02,-1500,,,
2023-08-01,390,,,
2023-07-31,-632,,,
2023-07-28,-2100,,,
2023-07-27,-730,,,
2023-07-26,-568,,,
2023-07-25,-620,,,
2023-07-24,-489,,,
2023-07-21,-390,,,
2023-07-20,297,,,
2023-07-19,892,,,
2023-07-18,4500,,,
2023-07-17,-1000,,,
2023-07-14,998,,,
2023-07-13,1300,,,
2023-07-12,-3100,,,
2023-07-11,2500,,,
2023-07-10,-1700,,,
